timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
741871;-0.04152513;0.002450762;-0.002310588;1.364999;293.183;4.545175;;;;;;;;;;;;
741871;-0.04198747;0.0005914281;-0.001911911;1.296578;293.3089;4.591674;;;;;;;;;;;;
741871;-0.04277641;-0.001658092;-0.001319726;1.239293;293.4232;4.630804;;;;;;;;;;;;
741871;-0.04352362;-0.002135474;-0.0003836853;1.202573;293.5329;4.687481;;;;;;;;;;;;
741871;-0.04411508;-0.00135958;0.0002656914;1.183561;293.655;4.744004;;;;;;;;;;;;
741871;-0.04436313;-0.00229617;0.001151008;1.162076;293.777;4.797307;;;;;;;;;;;;
741871;-0.04431006;-0.003348156;0.001328612;1.171779;293.9051;4.845101;;;;;;;;;;;;
741871;-0.04419105;-0.003417225;0.001677185;1.181882;294.014;4.887577;;;;;;;;;;;;
741871;-0.04394143;-0.002061344;0.001804347;1.214544;294.1263;4.929791;;;;;;;;;;;;
741871;-0.04239716;-0.00004268978;0.001653201;1.238023;294.2303;4.979379;;;;;;;;;;;;
741871;-0.04196792;0.001717284;0.001743326;1.255368;294.3288;5.020438;;;;;;;;;;;;
741871;-0.04151196;0.003408278;0.002302679;1.291515;294.4288;5.067364;;;;;;;;;;;;
741871;-0.04090767;0.004658326;0.002488055;1.308864;294.5224;5.095469;;;;;;;;;;;;
741871;-0.04043902;0.005213873;0.002447498;1.301379;294.625;5.13244;;;;;;;;;;;;
741871;-0.04017834;0.004705996;0.002731357;1.283997;294.7228;5.16509;;;;;;;;;;;;
741871;-0.03926064;0.004280601;0.002763828;1.237962;294.8092;5.230287;;;;;;;;;;;;
741871;-0.03867596;0.003959466;0.003767661;1.205405;294.8874;5.329665;;;;;;;;;;;;
741871;-0.03761111;0.003024776;0.003944899;1.162467;294.9695;5.444486;;;;;;;;;;;;
741871;-0.03573886;0.002465241;0.004582847;1.102066;295.0187;5.58221;;;;;;;;;;;;
741871;-0.03432297;0.002528623;0.005819242;1.046784;295.0736;5.731191;;;;;;;;;;;;
741871;-0.03269988;0.00284523;0.006582025;0.9866489;295.1366;5.863509;;;;;;;;;;;;
741871;-0.03151567;0.002985898;0.007761505;0.9259225;295.1947;5.967582;;;;;;;;;;;;
741871;-0.02979526;0.003476372;0.007825881;0.8703225;295.2802;6.04737;;;;;;;;;;;;
741871;-0.02827358;0.002116746;0.009309538;0.8304821;295.3273;6.098094;;;;;;;;;;;;
741871;-0.02618139;0.001107945;0.008903821;0.8023553;295.3934;6.127822;;;;;;;;;;;;
741871;-0.02434891;0.0003836557;0.009406854;0.7995124;295.441;6.149928;;;;;;;;;;;;
741871;-0.02249816;-0.0007464365;0.009987044;0.8112879;295.4872;6.148504;;;;;;;;;;;;
741871;-0.01977125;-0.0007475383;0.009457372;0.8171064;295.526;6.141735;;;;;;;;;;;;
741871;-0.01770146;-0.00002618902;0.008904329;0.8277525;295.5648;6.140762;;;;;;;;;;;;
741871;-0.01576294;0.0005655026;0.008839488;0.8305912;295.5996;6.133062;;;;;;;;;;;;
741871;-0.01346226;0.001064042;0.00946181;0.8242534;295.6313;6.113143;;;;;;;;;;;;
741871;-0.01087585;0.001750437;0.009128086;0.8173914;295.6609;6.080586;;;;;;;;;;;;
741871;-0.008534785;0.003373632;0.009202543;0.805495;295.6872;6.033614;;;;;;;;;;;;
741871;-0.006795201;0.003339811;0.009453579;0.7673625;295.7174;5.992769;;;;;;;;;;;;
741871;-0.004896775;0.00461339;0.01015314;0.7360294;295.7371;5.939105;;;;;;;;;;;;
741871;-0.003450583;0.005724733;0.01030393;0.7056609;295.7725;5.893478;;;;;;;;;;;;
741871;-0.002687111;0.007053242;0.01099534;0.6645699;295.7979;5.854307;;;;;;;;;;;;
741871;-0.001384562;0.008981235;0.01181634;0.6251066;295.8302;5.839661;;;;;;;;;;;;
741871;-0.0005121345;0.0102837;0.01310078;0.5678966;295.8374;5.828167;;;;;;;;;;;;
741871;-0.0001645525;0.01198692;0.01379569;0.522239;295.8654;5.794034;;;;;;;;;;;;
741871;0.0007463527;0.01417695;0.01475749;0.4841437;295.8933;5.7605;;;;;;;;;;;;
741871;0.001121199;0.01535848;0.01556667;0.4291527;295.9291;5.724874;;;;;;;;;;;;
741871;0.002017736;0.01709135;0.01611592;0.3976613;295.9683;5.686289;;;;;;;;;;;;
741871;0.003455616;0.01786277;0.01697496;0.3593785;296.011;5.635474;;;;;;;;;;;;
741871;0.004829661;0.01802749;0.01780676;0.3393738;296.058;5.571772;;;;;;;;;;;;
741871;0.006243921;0.01805786;0.01827199;0.3170584;296.1143;5.494698;;;;;;;;;;;;
741871;0.008352562;0.0183234;0.01907114;0.3188257;296.1689;5.438095;;;;;;;;;;;;
741871;0.01092056;0.01795545;0.01978975;0.3029286;296.2394;5.391408;;;;;;;;;;;;
741871;0.01307173;0.01638563;0.0202056;0.2838442;296.315;5.327235;;;;;;;;;;;;
741871;0.01475667;0.01495499;0.02137174;0.2693175;296.3909;5.277815;;;;;;;;;;;;
741871;0.01674546;0.01341905;0.02151154;0.2450769;296.4892;5.207673;;;;;;;;;;;;
741871;0.0178052;0.01231678;0.02238867;0.2160622;296.5674;5.156504;;;;;;;;;;;;
741871;0.01962844;0.01123597;0.02210674;0.1839932;296.6723;5.107351;;;;;;;;;;;;
741871;0.02123383;0.009136494;0.02198552;0.1423332;296.7996;5.051075;;;;;;;;;;;;
741871;0.02384215;0.006684875;0.02174164;0.1044795;296.942;4.975513;;;;;;;;;;;;
741871;0.02591247;0.004675316;0.02248992;0.07988208;297.0549;4.917232;;;;;;;;;;;;
741871;0.02842885;0.003095157;0.02307493;0.06210586;297.1852;4.853311;;;;;;;;;;;;
741871;0.03100075;0.002468995;0.02308325;0.04536334;297.3238;4.81393;;;;;;;;;;;;
741871;0.03286984;0.002532796;0.02256215;0.02370503;297.4737;4.740583;;;;;;;;;;;;
741871;0.03473531;0.002257695;0.02350648;0.0003203786;297.6277;4.672131;;;;;;;;;;;;
741871;0.03716894;0.003030204;0.02291646;359.9633;297.7834;4.587103;;;;;;;;;;;;
741871;0.03931113;0.005232018;0.02181957;359.9359;297.9456;4.486315;;;;;;;;;;;;
741871;0.04038884;0.006643077;0.02126983;359.9127;298.1122;4.391078;;;;;;;;;;;;
741871;0.04197623;0.01205104;0.02097593;359.899;298.2716;4.297402;;;;;;;;;;;;
741871;0.04338565;0.01707576;0.02049624;359.89;298.4443;4.197283;;;;;;;;;;;;
741871;0.04471672;0.0207832;0.01936495;359.8589;298.6136;4.099874;;;;;;;;;;;;
741871;0.04645381;0.02374951;0.01849123;359.8446;298.7949;3.989117;;;;;;;;;;;;
741871;0.04763431;0.02603626;0.01732037;359.8373;298.9816;3.87572;;;;;;;;;;;;
741871;0.04955007;0.02718231;0.0164446;359.8254;299.1618;3.74796;;;;;;;;;;;;
741871;0.05065737;0.0302564;0.01647249;359.8286;299.3561;3.640189;;;;;;;;;;;;
741871;0.05267068;0.03290717;0.01603703;359.8224;299.5469;3.535315;;;;;;;;;;;;
741871;0.05321767;0.03488462;0.01670647;359.8185;299.7538;3.409563;;;;;;;;;;;;
741871;0.05437912;0.03540695;0.0175611;359.8119;299.9509;3.288905;;;;;;;;;;;;
741871;0.05508441;0.03518141;0.01819712;359.8116;300.1703;3.123144;;;;;;;;;;;;
741871;0.05504084;0.03374476;0.019493;359.8124;300.3989;2.949427;;;;;;;;;;;;
741871;0.0550326;0.03033635;0.02104674;359.826;300.6411;2.731542;;;;;;;;;;;;
741871;0.05466247;0.02673309;0.02234111;359.8393;300.8829;2.532681;;;;;;;;;;;;
741871;0.05397025;0.02121944;0.02358985;359.8787;301.1407;2.321187;;;;;;;;;;;;
741871;0.05384389;0.01459607;0.0257637;359.9273;301.3723;2.11588;;;;;;;;;;;;
741871;0.05340372;0.006938345;0.02705931;359.9836;301.6107;1.927078;;;;;;;;;;;;
741871;0.05311492;-0.001979941;0.02804532;0.05761852;301.8575;1.753207;;;;;;;;;;;;
741871;0.05290227;-0.01077556;0.0289605;0.1360333;302.0947;1.593741;;;;;;;;;;;;
741871;0.0523726;-0.0203522;0.02975177;0.2215458;302.3219;1.432047;;;;;;;;;;;;
741871;0.05156721;-0.02882377;0.02985266;0.3099974;302.5508;1.265974;;;;;;;;;;;;
741871;0.05039721;-0.03785631;0.0304375;0.4002296;302.7848;1.107458;;;;;;;;;;;;
741871;0.04928518;-0.04452729;0.03116956;0.4840428;303.0081;0.9394823;;;;;;;;;;;;
